"mora-gluttony","Gluttony","card-gluttony","http://en.wiktionary.org/wiki/gluttony","Vice","Corpulence, Indulgence","O+I+A+","F0EED4",,
"mora-greed","Greed","card-greed","http://en.wiktionary.org/wiki/greed","Vice","Avarice, Avidity, Cupidity","O+","095D00","Excessive desire for acclimation of material possessions.",
"mora-hypocrisy","Hypocrisy","card-hypocrisy","http://en.wiktionary.org/wiki/hypocrisy","Vice","Cant, Pharisaism","A+T-PR","F3EF13",,
"mora-idolatry","Idolatry","card-idolatry","http://en.wiktionary.org/wiki/idolatry","Vice","Idolism","O+S+","CB9523","Misplaced reverence to people or icons without worth.",
"mora-infidelity","Infidelity","card-infidelity","http://en.wiktionary.org/wiki/infidelity","Vice","Unfaithfulness","R-O-","FF00EA",,
"mora-ignorance","Ignorance","card-ignorance","http://en.wiktionary.org/wiki/ignorance","Vice","Incompetence, Insularity, Narrow-mindedness, Stupidity","T-O-","FD6917","Disinterest in acquisition or knowledge.",
"mora-immorality","Immorality","card-immorality","http://en.wiktionary.org/wiki/immorality","Vice","Amorality, Unethicalness","S-at","CB2A15","Disregard for rightness of action or thought.",
"mora-impatience","Impatience","card-impatience","http://en.wiktionary.org/wiki/impatience","Vice","Petulance, Rashness, Restlessness","P-","1971C1",,
"mora-ingratitude","Ingratitude","card-ingratitude","http://en.wiktionary.org/wiki/ingratitude","Vice","Thanklessness, Thoughtlessness","R-T-","D349C1",,
"mora-injustice","Injustice","card-injustice","http://en.wiktionary.org/wiki/injustice","Vice","Inequity, Iniquity, Lawlessness, Malfeasance, Unjustness","R-P-TA","434FD2","Disregard for the rule of law.",
"mora-insecurity","Insecurity","card-insecurity","http://en.wiktionary.org/wiki/insecurity","Vice","Self-Doubt","I-","331974",,
"mora-insensitivity","Insensitivity","card-insensitivity","http://en.wiktionary.org/wiki/insensitivity","Vice","Disinterest, Insensibility","E-R-","FF0F0F","Indifference to the emotions or well-being of others.",
"mora-intemperance","Intemperence","card-intemperance","http://en.wiktionary.org/wiki/intemperance","Vice","Crapulence, Drunkeness, Immoderation, Insobriety","A+E+","8A1733",,
"mora-intrusiveness","Intrusiveness","card-intrusiveness","http://en.wiktionary.org/wiki/intrusiveness","Vice","Nosiness, Officiousness","R+","FF00FF","Interference in others' business.",
"mora-irrationality","Irrationality","card-irrationality","http://en.wiktionary.org/wiki/irrationality","Vice","Derangement, Illogicality, Insanity, Unreasonableness","T-","23735D",,
"mora-irresponsibility","Irresponsibility","card-irresponsibility","http://en.wiktionary.org/wiki/irresponsibility","Vice","Carelessness, Fecklessness, Negligence, Truancy, Unreliability, Untrustworthiness","O-","13156A",,
"mora-judgement","Judgment","card-judgement","http://en.wiktionary.org/wiki/judgement","Vice","Accusation, Blame, Condemnation, Haught","T+R-P+","753614",,
"mora-lust","Lust","card-lust","http://en.wiktionary.org/wiki/lust","Vice","Lasciviousness, Lewdness, Licentiousness, Perversion","E+","F34F2D","Excessive desire for experiences of the flesh.",
